Titulo,Autor,Genero,AnoPublicacao,Sinopse,Classificacao
A Culpa é das Estrelas,John Green,Romance,1915,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 119",3.0
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1930,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 728,2.3
O Código Da Vinci,Dan Brown,Mistério,2012,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 987,4.1
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,2009,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 158",3.5
O Lobo da Estepe,Hermann Hesse,Psicológico,1924,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 441,2.8
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1959,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 98",3.3
O Senhor das Moscas,William Golding,Aventura,1915,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 254,5.0
A Revolução dos Bichos,George Orwell,Fábula,1940,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 157,1.4
O Lobo da Estepe,Hermann Hesse,Psicológico,1973,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 972,4.6
O Alquimista,Paulo Coelho,Filosofia,1958,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 149,1.8
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1965,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 288",4.1
O Milagre da Manhã,Hal Elrod,Autoajuda,1930,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 810,2.5
O Lobo da Estepe,Hermann Hesse,Psicológico,1912,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 378,4.9
O Senhor das Moscas,William Golding,Aventura,1980,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 723,1.7
O Alquimista,Paulo Coelho,Filosofia,1963,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 257,4.7
O Alquimista,Paulo Coelho,Filosofia,1941,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 168,5.0
1984,George Orwell,Distopia,1915,Um regime totalitário vigia tudo e todos. Variado 425,3.4
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1932,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 549",3.2
O Código Da Vinci,Dan Brown,Mistério,1905,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 200,4.0
O Rei Leão,Roger Allers,Infantil,2006,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 278",4.2
1984,George Orwell,Distopia,1934,Um regime totalitário vigia tudo e todos. Variado 288,2.3
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1998,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 224",2.8
Dom Quixote,Miguel de Cervantes,Clássico,1992,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 835,1.1
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,2007,Uma história filosófica sobre um menino e suas aventuras. Variado 783,2.2
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1957,Uma história filosófica sobre um menino e suas aventuras. Variado 197,2.7
A Culpa é das Estrelas,John Green,Romance,1982,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 605",4.0
1984,George Orwell,Distopia,2005,Um regime totalitário vigia tudo e todos. Variado 365,2.2
O Alquimista,Paulo Coelho,Filosofia,1975,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 673,1.1
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1980,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 386",3.2
O Hobbit,J. R. R. Tolkien,Fantasia,1920,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 532,4.9
1984,George Orwell,Distopia,1938,Um regime totalitário vigia tudo e todos. Variado 629,1.6
O Hobbit,J. R. R. Tolkien,Fantasia,1909,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 50,4.2
A Guerra dos Tronos,George R. R. Martin,Fantasia,1917,"Em um reino medieval, várias famílias brigam pelo poder. Variado 562",4.8
O Senhor das Moscas,William Golding,Aventura,1947,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 262,2.9
O Hobbit,J. R. R. Tolkien,Fantasia,1938,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 663,2.5
Dom Quixote,Miguel de Cervantes,Clássico,1934,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 892,1.1
O Hobbit,J. R. R. Tolkien,Fantasia,2016,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 927,3.1
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1961,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 84,4.7
O Lobo da Estepe,Hermann Hesse,Psicológico,2018,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 51,3.3
A Revolução dos Bichos,George Orwell,Fábula,1975,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 334,3.4
Dom Quixote,Miguel de Cervantes,Clássico,1951,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 734,4.1
A Arte da Guerra,Sun Tzu,Filosofia,1993,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 672",2.1
O Hobbit,J. R. R. Tolkien,Fantasia,2014,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 989,2.0
O Alquimista,Paulo Coelho,Filosofia,1924,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 206,2.5
O Senhor das Moscas,William Golding,Aventura,1915,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 507,3.7
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1970,A jornada de Frodo para destruir o anel poderoso. Variado 929,3.0
A Culpa é das Estrelas,John Green,Romance,1950,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 791",3.2
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1966,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 28",1.3
A Menina que Roubava Livros,Markus Zusak,Histórico,1944,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 478,3.2
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,2021,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 170",2.0
O Milagre da Manhã,Hal Elrod,Autoajuda,1979,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 27,1.9
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1980,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 269,2.8
O Hobbit,J. R. R. Tolkien,Fantasia,1976,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 207,3.7
O Alquimista,Paulo Coelho,Filosofia,1997,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 689,4.7
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,2006,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 683",3.4
Dom Quixote,Miguel de Cervantes,Clássico,1984,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 462,2.1
1984,George Orwell,Distopia,1975,Um regime totalitário vigia tudo e todos. Variado 868,4.5
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1942,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 135,2.7
O Hobbit,J. R. R. Tolkien,Fantasia,1976,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 940,3.7
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1990,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 965",2.4
O Senhor das Moscas,William Golding,Aventura,1923,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 811,4.7
O Senhor das Moscas,William Golding,Aventura,1982,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 963,3.8
Dom Quixote,Miguel de Cervantes,Clássico,1911,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 17,1.3
A Revolução dos Bichos,George Orwell,Fábula,1998,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 937,4.7
A Revolução dos Bichos,George Orwell,Fábula,1932,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 707,1.8
A Guerra dos Tronos,George R. R. Martin,Fantasia,1935,"Em um reino medieval, várias famílias brigam pelo poder. Variado 344",3.8
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1920,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 215,1.8
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1974,Uma história filosófica sobre um menino e suas aventuras. Variado 525,2.2
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1923,Uma história filosófica sobre um menino e suas aventuras. Variado 316,2.6
O Lobo da Estepe,Hermann Hesse,Psicológico,2009,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 153,3.9
A Culpa é das Estrelas,John Green,Romance,1969,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 840",2.4
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1901,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 999,3.9
Dom Quixote,Miguel de Cervantes,Clássico,1979,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 983,2.7
A Culpa é das Estrelas,John Green,Romance,2015,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 662",3.7
A Revolução dos Bichos,George Orwell,Fábula,1923,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 199,2.2
A Guerra dos Tronos,George R. R. Martin,Fantasia,1986,"Em um reino medieval, várias famílias brigam pelo poder. Variado 775",4.9
O Hobbit,J. R. R. Tolkien,Fantasia,1932,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 617,3.3
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,2007,A jornada de Frodo para destruir o anel poderoso. Variado 594,2.9
A Arte da Guerra,Sun Tzu,Filosofia,1991,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 421",3.8
O Rei Leão,Roger Allers,Infantil,1913,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 598",1.6
O Alquimista,Paulo Coelho,Filosofia,2000,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 762,3.8
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1969,Uma história filosófica sobre um menino e suas aventuras. Variado 404,2.9
O Código Da Vinci,Dan Brown,Mistério,1997,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 889,4.6
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1904,Uma história filosófica sobre um menino e suas aventuras. Variado 26,4.9
O Código Da Vinci,Dan Brown,Mistério,1908,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 125,4.5
O Milagre da Manhã,Hal Elrod,Autoajuda,1900,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 367,3.9
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1934,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 94",3.4
O Milagre da Manhã,Hal Elrod,Autoajuda,1979,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 41,1.7
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,2013,A jornada de Frodo para destruir o anel poderoso. Variado 569,1.1
A Culpa é das Estrelas,John Green,Romance,1961,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 292",3.6
O Código Da Vinci,Dan Brown,Mistério,1965,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 195,1.8
O Código Da Vinci,Dan Brown,Mistério,2015,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 582,4.5
O Rei Leão,Roger Allers,Infantil,2002,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 691",2.9
O Lobo da Estepe,Hermann Hesse,Psicológico,1975,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 79,1.1
A Menina que Roubava Livros,Markus Zusak,Histórico,2011,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 160,4.6
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1982,A jornada de Frodo para destruir o anel poderoso. Variado 329,1.8
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1903,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 848",3.7
O Código Da Vinci,Dan Brown,Mistério,1927,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 164,1.1
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1937,A jornada de Frodo para destruir o anel poderoso. Variado 136,1.6
O Alquimista,Paulo Coelho,Filosofia,1949,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 233,3.1
A Culpa é das Estrelas,John Green,Romance,1914,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 318",4.3
O Lobo da Estepe,Hermann Hesse,Psicológico,1904,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 638,4.9
O Lobo da Estepe,Hermann Hesse,Psicológico,1935,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 556,1.0
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1925,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 430,1.4
A Culpa é das Estrelas,John Green,Romance,2023,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 643",3.3
A Guerra dos Tronos,George R. R. Martin,Fantasia,1945,"Em um reino medieval, várias famílias brigam pelo poder. Variado 514",2.2
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1911,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 440",1.9
O Milagre da Manhã,Hal Elrod,Autoajuda,1904,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 749,2.6
A Guerra dos Tronos,George R. R. Martin,Fantasia,1943,"Em um reino medieval, várias famílias brigam pelo poder. Variado 766",3.6
O Alquimista,Paulo Coelho,Filosofia,1971,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 978,1.7
Dom Quixote,Miguel de Cervantes,Clássico,1939,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 570,4.0
O Senhor das Moscas,William Golding,Aventura,2002,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 959,2.3
O Milagre da Manhã,Hal Elrod,Autoajuda,1991,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 277,1.1
A Menina que Roubava Livros,Markus Zusak,Histórico,1965,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 162,3.0
A Culpa é das Estrelas,John Green,Romance,1945,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 435",1.8
O Alquimista,Paulo Coelho,Filosofia,1946,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 824,2.0
O Alquimista,Paulo Coelho,Filosofia,1961,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 608,2.8
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1998,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 879,4.5
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1910,A jornada de Frodo para destruir o anel poderoso. Variado 20,4.3
O Milagre da Manhã,Hal Elrod,Autoajuda,1932,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 576,4.2
A Revolução dos Bichos,George Orwell,Fábula,1901,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 333,4.4
1984,George Orwell,Distopia,1984,Um regime totalitário vigia tudo e todos. Variado 218,1.2
A Arte da Guerra,Sun Tzu,Filosofia,1939,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 329",2.9
O Milagre da Manhã,Hal Elrod,Autoajuda,1999,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 331,4.9
1984,George Orwell,Distopia,2017,Um regime totalitário vigia tudo e todos. Variado 968,4.1
O Hobbit,J. R. R. Tolkien,Fantasia,1979,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 479,3.4
A Culpa é das Estrelas,John Green,Romance,1906,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 594",1.8
O Senhor das Moscas,William Golding,Aventura,1950,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 819,2.7
O Hobbit,J. R. R. Tolkien,Fantasia,1936,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 296,4.0
A Arte da Guerra,Sun Tzu,Filosofia,1990,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 146",2.1
O Código Da Vinci,Dan Brown,Mistério,1923,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 179,2.3
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1907,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 286,1.2
A Revolução dos Bichos,George Orwell,Fábula,1960,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 988,3.3
O Hobbit,J. R. R. Tolkien,Fantasia,1909,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 402,3.1
O Rei Leão,Roger Allers,Infantil,1970,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 261",4.1
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1959,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 268,1.3
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,2005,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 650",1.0
A Culpa é das Estrelas,John Green,Romance,1985,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 469",4.7
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1984,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 270,2.1
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1970,A jornada de Frodo para destruir o anel poderoso. Variado 966,4.0
A Menina que Roubava Livros,Markus Zusak,Histórico,1910,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 439,1.0
A Menina que Roubava Livros,Markus Zusak,Histórico,1973,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 639,2.9
O Hobbit,J. R. R. Tolkien,Fantasia,2024,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 845,2.9
A Revolução dos Bichos,George Orwell,Fábula,1980,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 875,3.9
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1957,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 688,3.2
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1957,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 523",4.3
A Arte da Guerra,Sun Tzu,Filosofia,2005,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 592",1.1
O Alquimista,Paulo Coelho,Filosofia,1910,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 970,4.4
A Revolução dos Bichos,George Orwell,Fábula,2012,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 920,1.5
O Milagre da Manhã,Hal Elrod,Autoajuda,1959,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 984,4.2
A Menina que Roubava Livros,Markus Zusak,Histórico,1933,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 655,1.4
A Culpa é das Estrelas,John Green,Romance,1982,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 292",3.0
A Revolução dos Bichos,George Orwell,Fábula,1986,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 442,1.5
O Senhor das Moscas,William Golding,Aventura,1904,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 879,4.7
O Alquimista,Paulo Coelho,Filosofia,1973,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 52,4.5
O Senhor das Moscas,William Golding,Aventura,1983,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 579,4.2
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1983,Uma história filosófica sobre um menino e suas aventuras. Variado 554,1.7
O Hobbit,J. R. R. Tolkien,Fantasia,2000,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 401,3.3
O Lobo da Estepe,Hermann Hesse,Psicológico,2006,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 346,3.5
A Menina que Roubava Livros,Markus Zusak,Histórico,1978,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 270,1.2
O Milagre da Manhã,Hal Elrod,Autoajuda,1971,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 78,1.7
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1942,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 981,2.4
Dom Quixote,Miguel de Cervantes,Clássico,1912,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 14,4.6
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,2024,Uma história filosófica sobre um menino e suas aventuras. Variado 796,4.0
O Código Da Vinci,Dan Brown,Mistério,2019,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 211,1.5
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1950,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 18",5.0
A Guerra dos Tronos,George R. R. Martin,Fantasia,2004,"Em um reino medieval, várias famílias brigam pelo poder. Variado 524",2.3
A Guerra dos Tronos,George R. R. Martin,Fantasia,1967,"Em um reino medieval, várias famílias brigam pelo poder. Variado 331",2.4
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1908,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 341,1.9
O Milagre da Manhã,Hal Elrod,Autoajuda,2022,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 601,2.8
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,2013,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 868,1.4
A Culpa é das Estrelas,John Green,Romance,2016,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 235",3.3
O Senhor das Moscas,William Golding,Aventura,2018,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 757,3.2
O Milagre da Manhã,Hal Elrod,Autoajuda,1941,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 394,1.2
O Senhor das Moscas,William Golding,Aventura,2015,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 514,3.6
A Revolução dos Bichos,George Orwell,Fábula,1964,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 748,2.2
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1943,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 766,4.8
A Arte da Guerra,Sun Tzu,Filosofia,1945,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 912",4.1
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1964,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 999,1.8
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,2000,A jornada de Frodo para destruir o anel poderoso. Variado 681,1.4
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,2007,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 826",3.7
A Culpa é das Estrelas,John Green,Romance,1984,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 204",1.5
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1963,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 313,2.1
