Titulo,Autor,Genero,AnoPublicacao,Sinopse,Classificacao
A Culpa é das Estrelas,John Green,Romance,1951,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 149",4.8
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1962,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 809,1.3
A Arte da Guerra,Sun Tzu,Filosofia,1956,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 387",2.8
O Milagre da Manhã,Hal Elrod,Autoajuda,1924,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 643,2.4
A Arte da Guerra,Sun Tzu,Filosofia,1947,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 633",1.3
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1917,A jornada de Frodo para destruir o anel poderoso. Variado 393,3.1
O Alquimista,Paulo Coelho,Filosofia,1935,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 133,1.4
1984,George Orwell,Distopia,1921,Um regime totalitário vigia tudo e todos. Variado 187,1.7
A Arte da Guerra,Sun Tzu,Filosofia,1953,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 91",2.9
O Milagre da Manhã,Hal Elrod,Autoajuda,2023,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 557,2.2
Dom Quixote,Miguel de Cervantes,Clássico,1924,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 219,1.9
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1919,Uma história filosófica sobre um menino e suas aventuras. Variado 130,2.5
O Rei Leão,Roger Allers,Infantil,2002,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 691",2.9
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1913,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 483,2.6
1984,George Orwell,Distopia,1991,Um regime totalitário vigia tudo e todos. Variado 523,4.9
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1977,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 845,3.3
O Hobbit,J. R. R. Tolkien,Fantasia,1969,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 49,4.4
A Revolução dos Bichos,George Orwell,Fábula,2002,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 329,1.6
O Alquimista,Paulo Coelho,Filosofia,1980,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 939,1.3
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,2016,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 686,1.7
O Rei Leão,Roger Allers,Infantil,1963,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 310",3.1
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1979,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 693,2.0
A Revolução dos Bichos,George Orwell,Fábula,2018,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 101,1.0
1984,George Orwell,Distopia,1974,Um regime totalitário vigia tudo e todos. Variado 486,1.7
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1958,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 964,4.8
O Milagre da Manhã,Hal Elrod,Autoajuda,1972,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 73,4.5
A Guerra dos Tronos,George R. R. Martin,Fantasia,1955,"Em um reino medieval, várias famílias brigam pelo poder. Variado 895",1.0
A Menina que Roubava Livros,Markus Zusak,Histórico,1914,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 241,3.3
O Hobbit,J. R. R. Tolkien,Fantasia,1977,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 27,3.4
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1961,Uma história filosófica sobre um menino e suas aventuras. Variado 742,4.6
O Senhor das Moscas,William Golding,Aventura,1915,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 24,1.3
A Culpa é das Estrelas,John Green,Romance,1930,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 640",2.4
A Guerra dos Tronos,George R. R. Martin,Fantasia,1941,"Em um reino medieval, várias famílias brigam pelo poder. Variado 546",1.5
A Menina que Roubava Livros,Markus Zusak,Histórico,2002,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 377,3.5
O Hobbit,J. R. R. Tolkien,Fantasia,1916,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 593,4.2
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,2013,Uma história filosófica sobre um menino e suas aventuras. Variado 388,2.3
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1903,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 979",1.2
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1950,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 159",1.6
A Guerra dos Tronos,George R. R. Martin,Fantasia,1922,"Em um reino medieval, várias famílias brigam pelo poder. Variado 781",2.1
1984,George Orwell,Distopia,1988,Um regime totalitário vigia tudo e todos. Variado 79,4.7
A Guerra dos Tronos,George R. R. Martin,Fantasia,1937,"Em um reino medieval, várias famílias brigam pelo poder. Variado 838",2.1
O Milagre da Manhã,Hal Elrod,Autoajuda,2020,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 72,3.1
A Culpa é das Estrelas,John Green,Romance,1972,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 510",1.6
O Senhor das Moscas,William Golding,Aventura,1933,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 555,3.3
1984,George Orwell,Distopia,2012,Um regime totalitário vigia tudo e todos. Variado 738,3.0
O Senhor das Moscas,William Golding,Aventura,1978,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 572,4.7
O Rei Leão,Roger Allers,Infantil,1970,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 261",4.1
1984,George Orwell,Distopia,2001,Um regime totalitário vigia tudo e todos. Variado 454,3.8
O Senhor das Moscas,William Golding,Aventura,1947,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 657,1.5
A Culpa é das Estrelas,John Green,Romance,2004,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 132",3.6
A Revolução dos Bichos,George Orwell,Fábula,2006,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 492,3.4
A Menina que Roubava Livros,Markus Zusak,Histórico,1948,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 381,3.1
A Guerra dos Tronos,George R. R. Martin,Fantasia,1906,"Em um reino medieval, várias famílias brigam pelo poder. Variado 717",3.9
O Lobo da Estepe,Hermann Hesse,Psicológico,2003,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 432,1.9
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1914,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 817",1.1
O Senhor das Moscas,William Golding,Aventura,1975,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 58,2.9
A Culpa é das Estrelas,John Green,Romance,2021,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 582",4.5
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,2016,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 719,2.5
A Revolução dos Bichos,George Orwell,Fábula,1900,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 893,3.3
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1950,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 39",2.2
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,2018,Uma história filosófica sobre um menino e suas aventuras. Variado 621,3.1
A Culpa é das Estrelas,John Green,Romance,1996,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 812",1.0
A Arte da Guerra,Sun Tzu,Filosofia,2005,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 915",4.1
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1947,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 226,1.5
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1921,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 533",3.9
A Revolução dos Bichos,George Orwell,Fábula,1963,Os animais de uma fazenda tomam o poder e instauram uma revolução. Variado 595,3.6
Dom Quixote,Miguel de Cervantes,Clássico,1945,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 325,2.6
O Hobbit,J. R. R. Tolkien,Fantasia,1906,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 156,3.0
O Milagre da Manhã,Hal Elrod,Autoajuda,1926,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 957,1.4
A Culpa é das Estrelas,John Green,Romance,1915,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 905",1.8
O Alquimista,Paulo Coelho,Filosofia,2007,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 267,1.8
Dom Quixote,Miguel de Cervantes,Clássico,1958,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 967,4.0
O Rei Leão,Roger Allers,Infantil,1927,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 872",4.0
O Código Da Vinci,Dan Brown,Mistério,1909,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 668,1.9
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1958,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 531,2.3
O Senhor das Moscas,William Golding,Aventura,1994,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 509,2.3
1984,George Orwell,Distopia,1918,Um regime totalitário vigia tudo e todos. Variado 179,2.2
O Lobo da Estepe,Hermann Hesse,Psicológico,1928,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 371,1.9
O Rei Leão,Roger Allers,Infantil,2010,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 368",3.8
A Arte da Guerra,Sun Tzu,Filosofia,1971,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 567",4.1
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1908,Uma história filosófica sobre um menino e suas aventuras. Variado 62,1.1
A Guerra dos Tronos,George R. R. Martin,Fantasia,2009,"Em um reino medieval, várias famílias brigam pelo poder. Variado 951",4.2
O Código Da Vinci,Dan Brown,Mistério,2015,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 605,2.6
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1942,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 203",1.2
O Alquimista,Paulo Coelho,Filosofia,1911,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 209,3.7
Dom Quixote,Miguel de Cervantes,Clássico,2004,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 101,1.4
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1934,Uma história filosófica sobre um menino e suas aventuras. Variado 48,1.6
O Senhor das Moscas,William Golding,Aventura,1985,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 557,1.4
A Menina que Roubava Livros,Markus Zusak,Histórico,1910,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 264,4.9
O Código Da Vinci,Dan Brown,Mistério,1927,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 149,1.0
O Senhor dos Anéis,J. R. R. Tolkien,Fantasia,1960,A jornada de Frodo para destruir o anel poderoso. Variado 478,1.6
A Culpa é das Estrelas,John Green,Romance,1971,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 884",3.4
O Milagre da Manhã,Hal Elrod,Autoajuda,1998,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 460,4.5
O Código Da Vinci,Dan Brown,Mistério,2018,Robert Langdon investiga o assassinato de um curador no Louvre. Variado 224,2.4
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1900,Uma história filosófica sobre um menino e suas aventuras. Variado 148,2.8
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1945,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 214",4.6
O Rei Leão,Roger Allers,Infantil,1919,"A história de Simba, um leão que deve assumir seu lugar como rei da savana. Variado 876",3.6
A Arte da Guerra,Sun Tzu,Filosofia,1940,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 955",3.9
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1989,Uma história filosófica sobre um menino e suas aventuras. Variado 205,2.6
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1915,Uma história filosófica sobre um menino e suas aventuras. Variado 842,1.6
O Senhor das Moscas,William Golding,Aventura,1927,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 458,4.0
1984,George Orwell,Distopia,2005,Um regime totalitário vigia tudo e todos. Variado 296,3.6
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,2008,Uma história filosófica sobre um menino e suas aventuras. Variado 990,3.6
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1914,O jovem Harry descobre ser um bruxo e começa sua aventura. Variado 544,3.3
A Arte da Guerra,Sun Tzu,Filosofia,2002,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 290",2.1
O Senhor das Moscas,William Golding,Aventura,1955,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 875,2.7
Dom Quixote,Miguel de Cervantes,Clássico,2010,A história de um homem que se torna cavaleiro andante em busca de aventuras. Variado 312,4.3
O Senhor das Moscas,William Golding,Aventura,1908,Grupo de meninos naufraga em uma ilha e luta pela sobrevivência. Variado 469,4.0
O Apanhador no Campo de Centeio,J.D. Salinger,Literatura Americana,1985,"A vida de Holden Caulfield, um adolescente rebelde e problemático. Variado 121",3.4
O Milagre da Manhã,Hal Elrod,Autoajuda,1983,O livro ensina como transformar a vida através da prática de hábitos matinais. Variado 6,1.9
O Alquimista,Paulo Coelho,Filosofia,1931,A jornada de Santiago em busca do seu destino pessoal e o significado da vida. Variado 811,1.9
A Culpa é das Estrelas,John Green,Romance,1946,"Hazel e Gus, dois jovens com câncer, se apaixonam enquanto enfrentam a vida. Variado 906",4.8
O Hobbit,J. R. R. Tolkien,Fantasia,1914,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 582,3.5
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1951,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 846",3.2
A Arte da Guerra,Sun Tzu,Filosofia,2004,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 23",3.3
A Guerra dos Tronos,George R. R. Martin,Fantasia,1957,"Em um reino medieval, várias famílias brigam pelo poder. Variado 569",1.3
1984,George Orwell,Distopia,1927,Um regime totalitário vigia tudo e todos. Variado 620,3.0
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1972,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 239",3.5
A Arte da Guerra,Sun Tzu,Filosofia,1947,"Tratado de estratégia militar, abordando táticas e ensinamentos de guerra. Variado 553",2.8
1984,George Orwell,Distopia,1931,Um regime totalitário vigia tudo e todos. Variado 438,1.4
O Hobbit,J. R. R. Tolkien,Fantasia,1908,Bilbo Bolseiro embarca em uma aventura épica com um grupo de anões. Variado 889,2.5
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,Autoajuda,1973,Práticas para melhorar as habilidades sociais e o relacionamento com os outros. Variado 530,3.1
A Menina que Roubava Livros,Markus Zusak,Histórico,1998,Uma menina na Alemanha Nazista encontra consolo em livros e palavras. Variado 735,2.0
O Lobo da Estepe,Hermann Hesse,Psicológico,1975,Harry Haller busca encontrar sua identidade entre dois mundos conflitantes. Variado 605,3.7
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1945,"A história da família Buendía, com suas tragédias e místicas coincidências. Variado 273",4.0
